features
0_Centroid
max_cons3
min_cons3
mean_6
mean_3
min_cons6
std_cons6
var_cons6
std_cons3
0_Area under the curve
0_Standard deviation
mean_12
0_Root mean square
var_cons3
0_ECDF Percentile_0
0_Median
0_ECDF Percentile_1
0_Mean
std_cons12
0_Min
min_cons12
var_cons12
0_Variance
slope_6
0_Total energy
0_Peak to peak distance
0_Absolute energy
max_cons12
0_Autocorrelation
0_Max
0_Interquartile range
0_Signal distance
0_Mean absolute deviation
0_Mean diff
0_Mean absolute diff
0_Median absolute diff
max_cons6
kurt_cons6
0_Entropy
0_Slope
slope_12
skew_cons3
0_Sum absolute diff
0_Median absolute deviation
kurt_cons12
0_Skewness
max_cant_ceros_seg_3
